Designator,Mid X,Mid Y,Layer,Rotation
1.8V,-13.61, 9.96,Top,0.0
3.3V,-24.38, 5.08,Top,0.0
C1, 6.48,-29.11,Top,180.0
C2,-21.87,-25.15,Top,90.0
C3,-33.38,-2.44,Top,0.0
C4,-30.56,13.54,Top,0.0
C5,-10.54,31.72,Top,0.0
C6, 6.17,32.94,Top,270.0
C7,21.87,25.37,Top,270.0
C8,33.27, 4.06,Top,180.0
C9,31.67,-11.71,Top,270.0
C10,13.46,-31.12,Top,180.0
C11, 2.64, 3.86,Top,180.0
C12,-7.47,-26.49,Top,90.0
C13,-9.14,-26.52,Top,90.0
C14,-17.04,-4.95,Top,270.0
C15,-15.60,-4.95,Top,270.0
C16,-24.92, 3.12,Top,0.0
C17, 5.44,-25.68,Top,270.0
C18,-8.33,-11.66,Top,90.0
C19,-12.75,18.06,Top,180.0
C20,-20.27,-4.95,Top,270.0
C21,-18.52,-4.95,Top,270.0
C22,-21.44, 9.96,Top,180.0
C23,-18.14, 9.96,Top,0.0
C24,-15.62, 9.96,Top,180.0
C25,-23.57,10.57,Top,90.0
C26,20.90,17.27,Top,180.0
C27,-6.91,-16.15,Top,180.0
C28, 4.06,-8.28,Top,90.0
C29, 8.46,-18.64,Top,0.0
C30, 9.68,-15.21,Top,0.0
C31, 1.80,-23.70,Top,270.0
C32,-6.88,-18.97,Top,180.0
C33, 3.20,-23.70,Top,270.0
C34,-6.91,-20.37,Top,180.0
C35,-6.93,-21.79,Top,180.0
C36,-2.92,-23.62,Top,180.0
C37,-3.66,-22.15,Top,180.0
C38, 9.68,-16.64,Top,0.0
C39,-3.35,-8.28,Top,90.0
C40,-6.88,-17.60,Top,180.0
C41, 0.08,-5.13,Top,0.0
C42, 2.64,-8.28,Top,90.0
C43,24.23,-2.34,Top,270.0
C44,25.60,-2.34,Top,270.0
C45,18.69,-2.36,Top,90.0
C46,16.18,-2.36,Top,270.0
C47,30.10,-10.82,Top,55.0
C48,28.96,-10.24,Top,55.0
C49,-11.35,-18.39,Top,270.0
C50,-9.19,-24.10,Top,0.0
C51, 8.74,-9.14,Top,270.0
C52,-0.61,27.76,Top,270.0
CONN1, 0.00,-32.93,Top,0.0
D1,-17.04,-28.09,Top,150.0
D2,-32.13,-7.16,Top,101.0
D3,-31.98, 8.10,Top,75.0
D4,-16.46,28.52,Top,30.0
D5, 0.25,32.82,Top,0.0
D6,16.51,28.27,Top,333.0
D7,31.24, 9.37,Top,290.0
D8,32.41,-5.87,Top,260.0
D9,18.44,-27.41,Top,214.0
D10, 0.51, 1.32,Top,0.0
D11,12.45,-13.84,Top,0.0
D12,-3.00,25.63,Top,270.0
GND,-23.77,-23.98,Top,0.0
IC1, 8.99,-23.90,Top,180.0
IC2,-19.10, 2.24,Top,270.0
J1,-25.96,-17.40,Top,125.0
J2,23.04,19.13,Top,130.0
J4,-24.36,17.30,Top,235.0
L1,-8.28,-28.63,Top,180.0
L2,-3.30,-25.43,Top,180.0
L3,-17.50, 8.08,Top,0.0
L4,-21.79, 8.05,Top,180.0
LED1,-12.40, 1.04,Top,180.0
LS1, 5.46,24.89,Top,0.0
MK1,25.30, 1.40,Top,180.0
Q2,12.34,19.99,Top,90.0
R1,12.83,-29.34,Top,180.0
R2, 9.68,-13.84,Top,0.0
R3,-24.97,-2.39,Top,180.0
R4,13.28,-25.15,Top,0.0
R5,13.26,-26.62,Top,0.0
R6,-7.39,22.07,Top,0.0
R7,-7.39,20.68,Top,0.0
R9,-24.97,-0.94,Top,0.0
R10,-24.94, 0.48,Top,0.0
R11,-6.45,-23.80,Top,90.0
R12, 0.41,-23.70,Top,90.0
R13,-0.99,-23.70,Top,90.0
R14,-22.02,11.94,Top,270.0
R15,-1.96,-8.28,Top,270.0
R16,-17.55,11.99,Top,270.0
R22,22.40, 6.20,Top,270.0
R23,15.54,-13.82,Top,90.0
R25,11.86,16.97,Top,0.0
S1, 8.89,-31.42,Top,0.0
S2,-8.08,-31.60,Top,180.0
S3,-14.02,-11.99,Top,270.0
S4,-26.54, 9.19,Top,270.0
U1, 9.63,-28.35,Top,180.0
U2,-0.03,-15.85,Top,180.0
U3,14.43,-7.72,Top,180.0
U5,17.42, 2.67,Top,180.0
U6,-11.43,21.44,Top,270.0
U9,25.50,-18.52,Top,235.0
U15,-12.52,-22.71,Top,270.0
VBATT,-22.07,-4.39,Top,0.0
VBUS,-10.77,-28.65,Top,0.0
VSYS,-20.52,11.38,Top,0.0
V_USB_OUT,-13.82,-4.47,Top,0.0
Y1, 0.33,-7.75,Top,90.0
